timestamp,value
1558049544,6
1558049546,5
1558049548,5
1558049550,9
1558049552,9
1558049554,14
1558049556,13
1558049558,3
1558049560,14
1558049562,13
1558049564,12
1558049566,18
1558049568,14
1558049570,12
1558049572,10
1558049574,10
1558049576,12
1558049578,12
1558049580,18
1558049582,2
1558049584,13
1558049586,16
1558049588,2
1558049590,11
1558049592,14
1558049594,18
1558049596,14
1558049598,14
1558049600,13
1558049602,13
1558049604,15
1558049606,11
1558049608,11
1558049610,10
1558049612,9
1558049614,10
1558049616,2
1558049618,11
1558049620,11
1558049622,15
1558049624,15
1558049626,7
1558049628,31
1558049630,5
1558049632,10
1558049634,3
1558049636,12
1558049638,14
1558049640,5
1558049642,13
1558049644,11
1558049646,12
1558049648,10
1558049650,10
1558049652,7
1558049654,10
1558049656,11
1558049658,12
1558049660,8
1558049662,17
1558049664,11
1558049666,7
1558049668,10
1558049670,15
1558049672,12
1558049674,15
1558049676,2
1558049678,13
1558049680,4
1558049682,12
1558049684,9
1558049686,12
1558049688,11
1558049690,51
1558049692,11
1558049694,33
1558049696,15
1558049698,3
1558049700,13
1558049702,13
1558049704,9
1558049706,30
1558049708,14
1558049710,12
1558049712,2
1558049714,6
1558049716,14
1558049718,3
1558049720,17
1558049722,17
1558049724,14
1558049726,20
1558049728,25
1558049730,17
1558049732,13
1558049734,13
1558049736,29
1558049738,12
1558049740,3
1558049742,15
1558049744,17
1558049746,15
1558049748,9
1558049750,18
1558049752,18
1558049754,11
1558049756,17
1558049758,15
1558049760,9
1558049762,18
1558049764,16
1558049766,16
1558049768,17
1558049770,15
1558049772,16
1558049774,10
1558049776,4
1558049778,18
1558049780,9
1558049782,14
1558049784,12
1558049786,16
1558049788,7
1558049790,11
1558049792,16
1558049794,8
1558049796,16
1558049798,22
1558049800,9
1558049802,13
1558049804,2
1558049806,13
1558049808,13
1558049810,10
1558049812,13
1558049814,14
1558049816,2
1558049818,14
1558049820,32
1558049822,11
1558049824,35
1558049826,13
1558049828,14
1558049830,10
1558049832,21
1558049834,3
1558049836,15
1558049838,29
1558049840,14
1558049842,2
1558049844,13
1558049846,25
1558049848,15
1558049850,16
1558049852,7
1558049854,15
1558049856,30
1558049858,13
1558049860,13
1558049862,18
1558049864,6
1558049866,13
1558049868,15
1558049870,21
1558049872,35
1558049874,14
1558049876,24
1558049878,11
1558049880,13
1558049882,2
1558049884,17
1558049886,10
1558049888,53
1558049890,18
1558049892,13
1558049894,16
1558049896,13
1558049898,17
1558049900,12
1558049902,12
1558049904,21
1558049906,13
1558049908,2
1558049910,15
1558049912,13
1558049914,14
1558049916,12
1558049918,17
1558049920,12
1558049922,12
1558049924,1
1558049926,6
1558049928,15
1558049930,14
1558049932,4
1558049934,12
1558049936,7
1558049938,9
1558049940,11
1558049942,15
1558049944,11
1558049946,5
1558049948,19
1558049950,8
1558049952,10
1558049954,9
1558049956,30
1558049958,15
1558049960,2
1558049962,14
1558049964,14
1558049966,20
1558049968,12
1558049970,24
1558049972,14
1558049974,18
1558049976,16
1558049978,6
1558049980,10
1558049982,14
1558049984,22
1558049986,18
1558049988,15
1558049990,15
1558049992,5
1558049994,15
1558049996,21
1558049998,3
1558050000,9
1558050002,10
1558050004,21
1558050006,8
1558050008,13
1558050010,20
1558050012,10
1558050014,11
1558050016,9
1558050018,13
1558050020,4
1558050022,22
1558050024,11
1558050026,16
1558050028,8
1558050030,15
1558050032,10
1558050034,14
1558050036,15
1558050038,3
1558050040,11
1558050042,8
1558050044,25
1558050046,5
1558050048,1
1558050050,12
1558050052,8
1558050054,11
1558050056,10
1558050058,13
1558050060,12
1558050062,15
1558050064,1
1558050066,13
1558050068,12
1558050070,23
1558050072,13
1558050074,14
1558050076,2
1558050078,12
1558050080,27
1558050082,5
1558050084,28
1558050086,17
1558050088,14
1558050090,20
1558050092,4
1558050094,16
1558050096,12
1558050098,4
1558050100,13
1558050102,16
1558050104,48
1558050106,11
1558050108,20
1558050110,2
1558050112,14
1558050114,6
1558050116,17
1558050118,19
1558050120,4
1558050122,13
1558050124,9
1558050126,11
1558050128,31
1558050130,11
1558050132,13
1558050134,21
1558050136,9
1558050138,28
1558050140,34
1558050142,8
1558050144,2
1558050146,5
1558050148,12
1558050150,10
1558050152,16
1558050154,2
1558050156,14
1558050158,25
1558050160,2
1558050162,9
1558050164,12
1558050166,10
1558050168,15
1558050170,4
1558050172,10
1558050174,16
1558050176,20
1558050178,7
1558050180,13
1558050182,21
1558050184,14
1558050186,24
1558050188,2
1558050190,15
1558050192,25
1558050194,14
1558050196,3
1558050198,8
1558050200,24
1558050202,10
1558050204,18
1558050206,21
1558050208,8
1558050210,4
1558050212,5
1558050214,5
1558050216,6
1558050218,2
1558050220,3
1558050222,14
1558050224,5
1558050226,18
1558050228,57
1558050230,12
1558050232,22
1558050234,17
1558050236,2
1558050238,12
1558050240,21
1558050242,11
1558050244,14
1558050246,12
1558050248,17
1558050250,5
1558050252,2
1558050254,17
1558050256,2
1558050258,15
1558050260,9
1558050262,20
1558050264,11
1558050266,12
1558050268,2
1558050270,11
1558050272,17
1558050274,16
1558050276,20
1558050278,2
1558050280,13
1558050282,14
1558050284,2
1558050286,5
1558050288,3
1558050290,12
1558050292,17
1558050294,14
1558050296,10
1558050298,11
1558050300,14
1558050302,7
1558050304,11
1558050306,16
1558050308,12
1558050310,22
1558050312,13
1558050314,20
1558050316,16
1558050318,3
1558050320,14
1558050322,10
1558050324,16
1558050326,2
1558050328,17
1558050330,15
1558050332,9
1558050334,39
1558050336,40
1558050338,14
1558050340,2
1558050342,13
1558050344,13
1558050346,2
1558050348,14
1558050350,14
1558050352,2
1558050354,11
1558050356,20
1558050358,30
1558050360,10
1558050362,9
1558050364,7
1558050366,12
1558050368,14
1558050370,23
1558050372,14
1558050374,24
1558050376,13
1558050378,15
1558050380,15
1558050382,11
1558050384,17
1558050386,16
1558050388,9
1558050390,14
1558050392,22
1558050394,18
1558050396,15
1558050398,11
1558050400,19
1558050402,14
1558050404,10
1558050406,9
1558050408,49
1558050410,14
1558050412,15
1558050414,3
1558050416,49
1558050418,13
1558050420,14
1558050422,10
1558050424,24
1558050426,2
1558050428,11
1558050430,11
1558050432,6
1558050434,13
1558050436,11
1558050438,15
1558050440,5
1558050442,12
1558050444,1
1558050446,3
1558050448,9
1558050450,10
1558050452,5
1558050454,11
1558050456,10
1558050458,6
1558050460,10
1558050462,13
1558050464,12
1558050466,11
1558050468,24
1558050470,2
1558050472,12
1558050474,9
1558050476,10
1558050478,22
1558050480,15
1558050482,12
1558050484,7
1558050486,9
1558050488,13
1558050490,13
1558050492,10
1558050494,37
1558050496,17
1558050498,17
1558050500,16
1558050502,24
1558050504,20
1558050506,12
1558050508,11
1558050510,11
1558050512,9
1558050514,17
1558050516,12
1558050518,21
1558050520,13
1558050522,1
1558050524,26
1558050526,7
1558050528,3
1558050530,7
1558050532,8
1558050534,12
1558050536,2
1558050538,9
1558050540,6
1558050542,14
1558050544,17
1558050546,8
1558050548,13
1558050550,13
1558050552,5
1558050554,13
1558050556,11
1558050558,21
1558050560,2
1558050562,8
1558050564,14
1558050566,5
1558050568,8
1558050570,12
1558050572,10
1558050574,14
1558050576,19
1558050578,13
1558050580,9
1558050582,12
1558050584,20
1558050586,6
1558050588,21
1558050590,15
1558050592,11
1558050594,4
1558050596,12
1558050598,13
1558050600,14
1558050602,19
1558050604,31
1558050606,8
1558050608,39
1558050610,17
1558050612,54
1558050614,2
1558050616,29
1558050618,16
1558050620,22
1558050622,14
1558050624,20
1558050626,2
1558050628,8
1558050630,12
1558050632,9
1558050634,1
1558050636,6
1558050638,19
1558050640,12
1558050642,11
1558050644,26
1558050646,9
1558050648,19
1558050650,9
1558050652,8
1558050654,13
1558050656,11
1558050658,1
1558050660,11
1558050662,1
1558050664,10
1558050666,21
1558050668,15
1558050670,11
1558050672,10
1558050674,11
1558050676,13
1558050678,8
1558050680,17
1558050682,7
1558050684,63
1558050686,16
1558050688,42
1558050690,3
1558050692,30
1558050694,16
1558050696,21
1558050698,13
1558050700,5
1558050702,12
1558050704,7
1558050706,11
1558050708,11
1558050710,7
1558050712,6
1558050714,8
1558050716,13
1558050718,2
1558050720,14
1558050722,26
1558050724,9
1558050726,12
1558050728,21
1558050730,29
1558050732,2
1558050734,17
1558050736,18
1558050738,13
1558050740,9
1558050742,27
1558050744,19
1558050746,32
1558050748,16
1558050750,7
1558050752,38
1558050754,2
1558050756,16
1558050758,6
1558050760,16
1558050762,12
1558050764,7
1558050766,7
1558050768,10
1558050770,11
1558050772,12
1558050774,9
1558050776,32
1558050778,44
1558050780,19
1558050782,15
1558050784,15
1558050786,2
1558050788,64
1558050790,9
1558050792,18
1558050794,15
1558050796,12
1558050798,6
1558050800,4
1558050802,45
1558050804,19
1558050806,25
1558050808,12
1558050810,3
1558050812,17
1558050814,15
1558050816,13
1558050818,22
1558050820,12
1558050822,11
1558050824,18
1558050826,4
1558050828,14
1558050830,16
1558050832,7
1558050834,25
1558050836,24
1558050838,12
1558050840,14
1558050842,20
1558050844,14
1558050846,4
1558050848,13
1558050850,17
1558050852,8
1558050854,14
1558050856,14
1558050858,16
1558050860,6
1558050862,11
1558050864,10
1558050866,14
1558050868,25
1558050870,25
1558050872,7
1558050874,5
1558050876,2
1558050878,28
1558050880,7
1558050882,4
1558050884,20
1558050886,12
1558050888,17
1558050890,21
1558050892,21
1558050894,16
1558050896,15
1558050898,36
1558050900,12
1558050902,16
1558050904,19
1558050906,37
1558050908,23
1558050910,17
1558050912,23
1558050914,15
1558050916,21
1558050918,25
1558050920,2
1558050922,12
1558050924,8
1558050926,27
1558050928,16
1558050930,21
1558050932,14
1558050934,2
1558050936,16
1558050938,16
1558050940,20
1558050942,5
1558050944,32
1558050946,14
1558050948,2
1558050950,8
1558050952,15
1558050954,14
1558050956,18
1558050958,9
1558050960,14
1558050962,23
1558050964,10
1558050966,26
1558050968,9
1558050970,18
1558050972,18
1558050974,20
1558050976,11
1558050978,16
1558050980,2
1558050982,4
1558050984,16
1558050986,19
1558050988,13
1558050990,12
1558050992,13
1558050994,48
1558050996,14
1558050998,13
1558051000,15
1558051002,35
1558051004,16
1558051006,14
1558051008,15
1558051010,14
1558051012,10
1558051014,7
1558051016,20
1558051018,24
1558051020,13
1558051022,17
1558051024,24
1558051026,9
1558051028,23
1558051030,18
1558051032,12
1558051034,15
1558051036,3
1558051038,21
1558051040,19
1558051042,6
1558051044,15
1558051046,12
1558051048,14
1558051050,20
1558051052,18
1558051054,16
1558051056,24
1558051058,17
1558051060,29
1558051062,6
1558051064,40
1558051066,43
1558051068,14
1558051070,18
1558051072,11
1558051074,14
1558051076,14
1558051078,17
1558051080,17
1558051082,18
1558051084,4
1558051086,18
1558051088,6
1558051090,3
1558051092,17
1558051094,13
1558051096,27
1558051098,24
1558051100,17
1558051102,45
1558051104,16
1558051106,15
1558051108,11
1558051110,21
1558051112,3
1558051114,19
1558051116,13
1558051118,11
1558051120,16
1558051122,17
1558051124,11
1558051126,17
1558051128,10
1558051130,39
1558051132,15
1558051134,4
1558051136,2
1558051138,2
1558051140,2
1558051142,5
1558051144,16
1558051146,7
1558051148,7
1558051150,3
1558051152,8
1558051154,19
1558051156,15
1558051158,10
1558051160,2
1558051162,9
1558051164,18
1558051166,15
1558051168,2
1558051170,2
1558051172,12
1558051174,18
1558051176,14
1558051178,4
1558051180,36
1558051182,13
1558051184,7
1558051186,25
1558051188,11
1558051190,13
1558051192,8
1558051194,2
1558051196,15
1558051198,5
1558051200,20
1558051202,2
1558051204,11
1558051206,18
1558051208,40
1558051210,27
1558051212,10
1558051214,14
1558051216,14
1558051218,17
1558051220,18
1558051222,22
1558051224,13
1558051226,13
1558051228,11
1558051230,2
1558051232,13
1558051234,16
1558051236,20
1558051238,13
1558051240,14
1558051242,35
1558051244,17
1558051246,16
1558051248,16
1558051250,19
1558051252,18
1558051254,1
1558051256,2
1558051258,12
1558051260,13
1558051262,10
1558051264,17
1558051266,13
1558051268,12
1558051270,28
1558051272,12
1558051274,24
1558051276,17
1558051278,3
1558051280,15
1558051282,12
1558051284,21
1558051286,24
1558051288,13
1558051290,15
1558051292,4
1558051294,11
1558051296,17
1558051298,10
1558051300,11
1558051302,13
1558051304,9
1558051306,9
1558051308,25
1558051310,14
1558051312,8
1558051314,6
1558051316,6
1558051318,3
1558051320,15
1558051322,8
1558051324,13
1558051326,4
1558051328,9
1558051330,13
1558051332,27
1558051334,11
1558051336,22
1558051338,4
1558051340,11
1558051342,16
1558051344,13
1558051346,13
1558051348,8
1558051350,11
1558051352,10
1558051354,2
1558051356,10
1558051358,11
1558051360,11
1558051362,10
1558051364,13
1558051366,16
1558051368,19
1558051370,16
1558051372,17
1558051374,14
1558051376,14
1558051378,10
1558051380,14
1558051382,12
1558051384,19
1558051386,8
1558051388,14
1558051390,3
1558051392,11
1558051394,22
1558051396,29
1558051398,13
1558051400,3
1558051402,16
1558051404,13
1558051406,2
1558051408,10
1558051410,12
1558051412,52
1558051414,15
1558051416,11
1558051418,9
1558051420,13
1558051422,10
1558051424,4
1558051426,10
1558051428,22
1558051430,14
1558051432,3
1558051434,19
1558051436,6
1558051438,9
1558051440,12
1558051442,3
1558051444,13
1558051446,1
1558051448,10
1558051450,12
1558051452,17
1558051454,13
1558051456,36
1558051458,21
1558051460,11
1558051462,10
1558051464,15
1558051466,15
1558051468,12
1558051470,11
1558051472,4
1558051474,2
1558051476,24
1558051478,22
1558051480,11
1558051482,17
1558051484,7
1558051486,13
1558051488,16
1558051490,14
1558051492,9
1558051494,20
1558051496,14
1558051498,13
1558051500,12
1558051502,6
1558051504,10
1558051506,16
1558051508,21
1558051510,2
1558051512,21
1558051514,12
1558051516,10
1558051518,6
1558051520,15
1558051522,4
1558051524,21
1558051526,7
1558051528,22
1558051530,40
1558051532,13
1558051534,14
1558051536,11
1558051538,5
1558051540,22
1558051542,2
1558051544,2
1558051546,2
1558051548,2
1558051550,16
1558051552,2
1558051554,2
1558051556,11
1558051558,10
1558051560,9
1558051562,12
1558051564,11
1558051566,20
1558051568,12
1558051570,12
1558051572,13
1558051574,12
1558051576,12
1558051578,17
1558051580,9
1558051582,3
1558051584,10
1558051586,5
1558051588,3
1558051590,1
1558051592,1
1558051594,11
1558051596,3
1558051598,2
1558051600,14
1558051602,20
1558051604,9
1558051606,14
1558051608,5
1558051610,14
1558051612,20
1558051614,2
1558051616,11
1558051618,7
1558051620,9
1558051622,11
1558051624,4
1558051626,15
1558051628,11
1558051630,24
1558051632,10
1558051634,13
1558051636,12
1558051638,11
1558051640,16
1558051642,12
1558051644,14
1558051646,14
1558051648,12
1558051650,18
1558051652,14
1558051654,14
1558051656,14
1558051658,22
1558051660,12
1558051662,13
1558051664,14
1558051666,14
1558051668,2
1558051670,3
1558051672,16
1558051674,7
1558051676,20
1558051678,16
1558051680,12
1558051682,15
1558051684,13
1558051686,19
1558051688,12
1558051690,5
1558051692,11
1558051694,14
1558051696,15
1558051698,18
1558051700,2
1558051702,3
1558051704,26
1558051706,1
1558051708,9
1558051710,1
1558051712,26
1558051714,2
1558051716,15
1558051718,17
1558051720,4
1558051722,4
1558051724,15
1558051726,9
1558051728,8
1558051730,5
1558051732,11
1558051734,3
1558051736,21
1558051738,11
1558051740,2
1558051742,15
1558051744,16
1558051746,17
1558051748,6
1558051750,2
1558051752,15
1558051754,2
1558051756,4
1558051758,20
1558051760,15
1558051762,2
1558051764,8
1558051766,12
1558051768,11
1558051770,10
1558051772,19
1558051774,18
1558051776,5
1558051778,2
1558051780,3
1558051782,21
1558051784,3
1558051786,10
1558051788,16
1558051790,14
1558051792,4
1558051794,15
1558051796,14
1558051798,13
1558051800,48
1558051802,3
1558051804,13
1558051806,14
1558051808,2
1558051810,21
1558051812,3
1558051814,2
1558051816,15
1558051818,7
1558051820,12
1558051822,17
1558051824,14
1558051826,14
1558051828,15
1558051830,3
1558051832,13
1558051834,10
1558051836,8
1558051838,22
1558051840,20
1558051842,13
1558051844,9
1558051846,14
