timestamp,value
1559357580,1
1559357581,1
1559357582,1
1559357583,1
1559357584,10
1559357585,10
1559357586,10
1559357587,10
1559357588,10
1559357589,8
1559357590,8
1559357591,8
1559357592,8
1559357593,8
1559357594,2
1559357595,2
1559357596,2
1559357597,2
1559357598,2
1559357599,10
1559357600,10
1559357601,10
1559357602,10
1559357603,10
1559357604,15
1559357605,15
1559357606,15
1559357607,15
1559357608,15
1559357609,14
1559357610,14
1559357611,14
1559357612,14
1559357613,14
1559357614,3
1559357615,3
1559357616,3
1559357617,3
1559357618,3
1559357619,14
1559357620,14
1559357621,14
1559357622,14
1559357623,14
1559357624,5
1559357625,5
1559357626,5
1559357627,5
1559357628,5
1559357629,12
1559357630,12
1559357631,12
1559357632,12
1559357633,12
1559357634,12
1559357635,12
1559357636,12
1559357637,12
1559357638,12
1559357639,2
1559357640,2
1559357641,2
1559357642,2
1559357643,2
1559357644,10
1559357645,10
1559357646,10
1559357647,10
1559357648,10
1559357649,10
1559357650,10
1559357651,10
1559357652,10
1559357653,10
1559357654,18
1559357655,18
1559357656,18
1559357657,18
1559357658,18
1559357659,12
1559357660,12
1559357661,12
1559357662,12
1559357663,12
1559357664,13
1559357665,13
1559357666,13
1559357667,13
1559357668,13
1559357669,16
1559357670,16
1559357671,16
1559357672,16
1559357673,16
1559357674,6
1559357675,6
1559357676,6
1559357677,6
1559357678,6
1559357679,2
1559357680,2
1559357681,2
1559357682,2
1559357683,2
1559357684,13
1559357685,13
1559357686,13
1559357687,13
1559357688,13
1559357689,12
1559357690,12
1559357691,12
1559357692,12
1559357693,12
1559357694,12
1559357695,12
1559357696,12
1559357697,12
1559357698,12
1559357699,2
1559357700,2
1559357701,2
1559357702,2
1559357703,2
1559357704,11
1559357705,11
1559357706,11
1559357707,11
1559357708,11
1559357709,20
1559357710,20
1559357711,20
1559357712,20
1559357713,20
1559357714,5
1559357715,5
1559357716,5
1559357717,5
1559357718,5
1559357719,15
1559357720,15
1559357721,15
1559357722,15
1559357723,15
1559357724,11
1559357725,11
1559357726,11
1559357727,11
1559357728,11
1559357729,20
1559357730,20
1559357731,20
1559357732,20
1559357733,20
1559357734,15
1559357735,15
1559357736,15
1559357737,15
1559357738,15
1559357739,14
1559357740,14
1559357741,14
1559357742,14
1559357743,14
1559357744,11
1559357745,11
1559357746,11
1559357747,11
1559357748,11
1559357749,10
1559357750,10
1559357751,10
1559357752,10
1559357753,10
1559357754,12
1559357755,12
1559357756,12
1559357757,12
1559357758,12
1559357759,14
1559357760,14
1559357761,14
1559357762,14
1559357763,14
1559357764,3
1559357765,3
1559357766,3
1559357767,3
1559357768,3
1559357769,11
1559357770,11
1559357771,11
1559357772,11
1559357773,11
1559357774,13
1559357775,13
1559357776,13
1559357777,13
1559357778,13
1559357779,13
1559357780,13
1559357781,13
1559357782,13
1559357783,13
1559357784,11
1559357785,11
1559357786,11
1559357787,11
1559357788,11
1559357789,11
1559357790,11
1559357791,11
1559357792,11
1559357793,11
1559357794,10
1559357795,10
1559357796,10
1559357797,10
1559357798,10
1559357799,1
1559357800,1
1559357801,1
1559357802,1
1559357803,1
1559357804,12
1559357805,12
1559357806,12
1559357807,12
1559357808,12
1559357809,12
1559357810,12
1559357811,12
1559357812,12
1559357813,12
1559357814,7
1559357815,7
1559357816,7
1559357817,7
1559357818,7
1559357819,10
1559357820,10
1559357821,10
1559357822,10
1559357823,10
1559357824,13
1559357825,13
1559357826,13
1559357827,13
1559357828,13
1559357829,12
1559357830,12
1559357831,12
1559357832,12
1559357833,12
1559357834,8
1559357835,8
1559357836,8
1559357837,8
1559357838,8
1559357839,13
1559357840,13
1559357841,13
1559357842,13
1559357843,13
1559357844,7
1559357845,7
1559357846,7
1559357847,7
1559357848,7
1559357849,13
1559357850,13
1559357851,13
1559357852,13
1559357853,13
1559357854,23
1559357855,23
1559357856,23
1559357857,23
1559357858,23
1559357859,14
1559357860,14
1559357861,14
1559357862,14
1559357863,14
1559357864,13
1559357865,13
1559357866,13
1559357867,13
1559357868,13
1559357869,2
1559357870,2
1559357871,2
1559357872,2
1559357873,2
1559357874,2
1559357875,2
1559357876,2
1559357877,2
1559357878,2
1559357879,8
1559357880,8
1559357881,8
1559357882,8
1559357883,8
1559357884,13
1559357885,13
1559357886,13
1559357887,13
1559357888,13
1559357889,16
1559357890,16
1559357891,16
1559357892,16
1559357893,16
1559357894,19
1559357895,19
1559357896,19
1559357897,19
1559357898,19
1559357899,20
1559357900,20
1559357901,20
1559357902,20
1559357903,20
1559357904,5
1559357905,5
1559357906,5
1559357907,5
1559357908,5
1559357909,13
1559357910,13
1559357911,13
1559357912,13
1559357913,13
1559357914,19
1559357915,19
1559357916,19
1559357917,19
1559357918,19
1559357919,14
1559357920,14
1559357921,14
1559357922,14
1559357923,14
1559357924,13
1559357925,13
1559357926,13
1559357927,13
1559357928,13
1559357929,3
1559357930,3
1559357931,3
1559357932,3
1559357933,3
1559357934,12
1559357935,12
1559357936,12
1559357937,12
1559357938,12
1559357939,3
1559357940,3
1559357941,3
1559357942,3
1559357943,3
1559357944,6
1559357945,6
1559357946,6
1559357947,6
1559357948,6
1559357949,9
1559357950,9
1559357951,9
1559357952,9
1559357953,9
1559357954,13
1559357955,13
1559357956,13
1559357957,13
1559357958,13
1559357959,18
1559357960,18
1559357961,18
1559357962,18
1559357963,18
1559357964,15
1559357965,15
1559357966,15
1559357967,15
1559357968,15
1559357969,8
1559357970,8
1559357971,8
1559357972,8
1559357973,8
1559357974,12
1559357975,12
1559357976,12
1559357977,12
1559357978,12
1559357979,14
1559357980,14
1559357981,14
1559357982,14
1559357983,14
1559357984,16
1559357985,16
1559357986,16
1559357987,16
1559357988,16
1559357989,19
1559357990,19
1559357991,19
1559357992,19
1559357993,19
1559357994,4
1559357995,4
1559357996,4
1559357997,4
1559357998,4
1559357999,6
1559358000,6
1559358001,6
1559358002,6
1559358003,6
1559358004,11
1559358005,11
1559358006,11
1559358007,11
1559358008,11
1559358009,13
1559358010,13
1559358011,13
1559358012,13
1559358013,13
1559358014,10
1559358015,10
1559358016,10
1559358017,10
1559358018,10
1559358019,9
1559358020,9
1559358021,9
1559358022,9
1559358023,9
1559358024,7
1559358025,7
1559358026,7
1559358027,7
1559358028,7
1559358029,12
1559358030,12
1559358031,12
1559358032,12
1559358033,12
1559358034,12
1559358035,12
1559358036,12
1559358037,12
1559358038,12
1559358039,11
1559358040,11
1559358041,11
1559358042,11
1559358043,11
1559358044,12
1559358045,12
1559358046,12
1559358047,12
1559358048,12
1559358049,13
1559358050,13
1559358051,13
1559358052,13
1559358053,13
1559358054,5
1559358055,5
